Submitted at,Country you live and work in,City,Gender,Your age,Your job title,What is your current type of employment?,Level of seniority,Primary field of work,Years of relevant design experience,Years of total working experience,Highest level of formal education attained,Did you have design-related education (Formal/informal)?,Select the relevant design-related education. Select all that apply.,"Select the relevant design-related education. Select all that apply. (Formal design education (Diploma, Degree..))",Select the relevant design-related education. Select all that apply. (Online certification (e.g. Coursera or IDF)),Select the relevant design-related education. Select all that apply. (Bootcamps (e.g. General Assembly)),Select the relevant design-related education. Select all that apply. (In-person certified courses),Select the relevant design-related education. Select all that apply. (Self-taught / informal / unstructured courses),Have you lived and worked in another country?,Currency you draw your salary in,Would you like to share your base salary on a monthly or annual basis?,Annual base salary,Monthly base salary,Annual bonus,Annual stock grant (in local currency),Other compensation (annual basis),Annual Total Comp,Annual Total Comp (SGD),Other benefits,What type of company do you currently work for?,Industry your company is in,Company size,Size of design team,Are you physically located at your company headquarters?,Work arrangement at company,Company name
2024-10-01 2:33:43,Singapore,Singapore,Woman,25 - 30,UX Designer,Full-time employee,Mid-level IC,Product / UX design,6,3,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), In-person certified courses",TRUE,FALSE,FALSE,TRUE,FALSE,No,SGD,Monthly,,"3,440",,,600,"41,880","41,880","Budget for equipment or home office setup, Allowance for flexible working arrangement (remote/co-working space), Paid medical leave, Flexible schedule, Paid time off / vacation time",Start-up,Advertising and marketing,11 - 50,2 - 10,Not applicable,Fully remote,Sqkii Pte. Ltd.
2024-10-01 2:40:28,Singapore,Singapore,Man,36 - 40,Product designer,Fixed term contractor,Junior IC (Entry level),Visual / UI design,2,11,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"5,500",,,,"66,000","66,000","Health insurance, Onsite food / snacks, Paid time off / vacation time, Paid medical leave",Non-profit,"Technology, media & telecommunications",201 - 1000,2 - 10,Yes,3 days on-site,
2024-10-01 2:50:13,Malaysia,Kuala Lumpur,Woman,25 - 30,UX Researcher,Full-time employee,Junior IC (Entry level),Product / UX research,2,2,Bachelor's degree,No,,,,,,,No,MYR,Monthly,,"4,000","4,000",,,"52,000","15,761","Meal subsidies, Paid medical leave, Health insurance, Dental insurance, Professional development, training, or learning fund, Paid time off / vacation time",Start-up,"Transportation, hospitality & services",201 - 1000,11 - 50,Yes,4 days on-site,
2024-10-01 3:13:39,Singapore,Singapore,Man,31 - 35,Product designer,Full-time employee,Senior IC,Design operations,4,8,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"7,800",,,,"93,600","93,600","Dental insurance, Health insurance, Paid medical leave, Flexible spending account, Paid time off / vacation time, Onsite food / snacks, Professional development, training, or learning fund",Large enterprise (MNC),Banking & capital markets,"10,001 and above",51 - 100,Yes,4 days on-site,
2024-10-01 3:27:58,Malaysia,Kuala Lumpur,Man,31 - 35,Senior Product Designer,Full-time employee,Senior IC,Product / UX design,7,12,Diploma,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"9,460",,,,"113,520","34,408","Meal subsidies, Health insurance",Start-up,"Transportation, hospitality & services","1001 - 10,000",11 - 50,Yes,4 days on-site,AirAsia MOVE
2024-10-01 3:28:38,Thailand,Bangkok,Man,36 - 40,UX Research Lead,Full-time employee,Lead / Staff / Principal IC,Product / UX research,8,13,Master's degree,Yes,Online certification (e.g. Coursera or IDF),FALSE,TRUE,FALSE,FALSE,FALSE,Yes,THB,Monthly,,"175,000","300,000",,,"2,400,000","96,000","Paid time off / vacation time, Health insurance, Paid medical leave",Large enterprise (MNC),"Retail, wholesale & distribution",201 - 1000,11 - 50,No,Fully remote,
2024-10-01 4:40:28,Malaysia,Kuala Lumpur,Man,31 - 35,Senior product designer,Full-time employee,Senior IC,Product / UX design,5,9,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"9,009",,,,"108,108","32,768","Health insurance, Paid medical leave, Meal subsidies, Paid time off / vacation time, Dental insurance",Small-medium enterprise,"Technology, media & telecommunications","1001 - 10,000",11 - 50,Yes,4 days on-site,AirAsia MOVE
2024-10-01 5:32:50,Singapore,Singapore,Woman,36 - 40,Product Design Lead,Full-time employee,Manager,Product / UX design,12,14,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Annual,"243,000",,,,"3,000","246,000","246,000","Allowance for flexible working arrangement (remote/co-working space), Flexible schedule, Paid time off / vacation time, Professional development, training, or learning fund, Paid medical leave, Budget for equipment or home office setup, Wellness (gym, fitness, etc), Other",Large enterprise (MNC),"Technology, media & telecommunications","1001 - 10,000",101 and above,Not applicable,Fully remote,
2024-10-01 11:03:03,Indonesia,Surabaya,Woman,36 - 40,Senior Product Researcher,Full-time employee,Senior IC,Product / UX research,6,14,Bachelor's degree,No,,,,,,,Yes,IDR,Monthly,,"37,000,000","55,000,000",,"37,000,000","536,000,000","45,024","Paid medical leave, Allowance for flexible working arrangement (remote/co-working space), Paid time off / vacation time, Health insurance",Large enterprise (MNC),"Transportation, hospitality & services","10,001 and above",11 - 50,No,Fully remote,
2024-10-02 1:41:38,Singapore,Singapore,Woman,31 - 35,Staff Product Designer,Full-time employee,Lead / Staff / Principal IC,Product / UX design,12,12,Bachelor's degree,No,,,,,,,No,SGD,Annual,"125,000",,"35,000",,,"160,000","160,000","Professional development, training, or learning fund, Wellness (gym, fitness, etc), Paid time off / vacation time, Flexible spending account, Paid medical leave, Internet / mobile phone subsidies, Flexible schedule, Onsite food / snacks, Health insurance",Government,Government & public services,201 - 1000,2 - 10,Yes,4 days on-site,
2024-10-02 1:51:24,Singapore,Singapore,Man,25 - 30,Conversion Rate Optimisation Specialist,Full-time employee,Mid-level IC,Product / UX design,3,4,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,TRUE,FALSE,FALSE,No,SGD,Monthly,,"5,300",500,,"1,500","65,600","65,600","Flexible schedule, Health insurance, Professional development, training, or learning fund, Paid medical leave, Wellness (gym, fitness, etc), Paid time off / vacation time, Onsite food / snacks",Agency / Consulting,"Technology, media & telecommunications",51 - 200,2 - 10,No,4 days on-site,
